id,zone,in_type,in_number,in_channel,modifier,grid_mode,action,target,slot,transport,control_path,value_type,value,led_state_source,led_palette,notes
PAD_S1_T6_CLIP,GRID_CLIP,note,97,1,,SESSION,clip_connect,LAYER3,bank*16+6,osc,/composition/layers/{L3}/clips/{bank*16+6}/connect,int,1,clip.connected[L3][bank*16+6],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T6_CLIPSEL,GRID_CLIP,note,97,1,SELECT,SESSION,clip_select,LAYER3,bank*16+6,osc,/composition/layers/{L3}/clips/{bank*16+6}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T7_CLIP,GRID_CLIP,note,98,1,,SESSION,clip_connect,LAYER3,bank*16+7,osc,/composition/layers/{L3}/clips/{bank*16+7}/connect,int,1,clip.connected[L3][bank*16+7],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T7_CLIPSEL,GRID_CLIP,note,98,1,SELECT,SESSION,clip_select,LAYER3,bank*16+7,osc,/composition/layers/{L3}/clips/{bank*16+7}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T8_CLIP,GRID_CLIP,note,99,1,,SESSION,clip_connect,LAYER3,bank*16+8,osc,/composition/layers/{L3}/clips/{bank*16+8}/connect,int,1,clip.connected[L3][bank*16+8],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T8_CLIPSEL,GRID_CLIP,note,99,1,SELECT,SESSION,clip_select,LAYER3,bank*16+8,osc,/composition/layers/{L3}/clips/{bank*16+8}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T1_CLIP,GRID_CLIP,note,84,1,,SESSION,clip_connect,LAYER3,bank*16+9,osc,/composition/layers/{L3}/clips/{bank*16+9}/connect,int,1,clip.connected[L3][bank*16+9],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T1_CLIPSEL,GRID_CLIP,note,84,1,SELECT,SESSION,clip_select,LAYER3,bank*16+9,osc,/composition/layers/{L3}/clips/{bank*16+9}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T2_CLIP,GRID_CLIP,note,85,1,,SESSION,clip_connect,LAYER3,bank*16+10,osc,/composition/layers/{L3}/clips/{bank*16+10}/connect,int,1,clip.connected[L3][bank*16+10],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T2_CLIPSEL,GRID_CLIP,note,85,1,SELECT,SESSION,clip_select,LAYER3,bank*16+10,osc,/composition/layers/{L3}/clips/{bank*16+10}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T3_CLIP,GRID_CLIP,note,86,1,,SESSION,clip_connect,LAYER3,bank*16+11,osc,/composition/layers/{L3}/clips/{bank*16+11}/connect,int,1,clip.connected[L3][bank*16+11],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T3_CLIPSEL,GRID_CLIP,note,86,1,SELECT,SESSION,clip_select,LAYER3,bank*16+11,osc,/composition/layers/{L3}/clips/{bank*16+11}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T4_CLIP,GRID_CLIP,note,87,1,,SESSION,clip_connect,LAYER3,bank*16+12,osc,/composition/layers/{L3}/clips/{bank*16+12}/connect,int,1,clip.connected[L3][bank*16+12],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T4_CLIPSEL,GRID_CLIP,note,87,1,SELECT,SESSION,clip_select,LAYER3,bank*16+12,osc,/composition/layers/{L3}/clips/{bank*16+12}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T5_CLIP,GRID_CLIP,note,88,1,,SESSION,clip_connect,LAYER3,bank*16+13,osc,/composition/layers/{L3}/clips/{bank*16+13}/connect,int,1,clip.connected[L3][bank*16+13],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T5_CLIPSEL,GRID_CLIP,note,88,1,SELECT,SESSION,clip_select,LAYER3,bank*16+13,osc,/composition/layers/{L3}/clips/{bank*16+13}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T6_CLIP,GRID_CLIP,note,89,1,,SESSION,clip_connect,LAYER3,bank*16+14,osc,/composition/layers/{L3}/clips/{bank*16+14}/connect,int,1,clip.connected[L3][bank*16+14],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T6_CLIPSEL,GRID_CLIP,note,89,1,SELECT,SESSION,clip_select,LAYER3,bank*16+14,osc,/composition/layers/{L3}/clips/{bank*16+14}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T7_CLIP,GRID_CLIP,note,90,1,,SESSION,clip_connect,LAYER3,bank*16+15,osc,/composition/layers/{L3}/clips/{bank*16+15}/connect,int,1,clip.connected[L3][bank*16+15],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T7_CLIPSEL,GRID_CLIP,note,90,1,SELECT,SESSION,clip_select,LAYER3,bank*16+15,osc,/composition/layers/{L3}/clips/{bank*16+15}/select,int,1,,,Select in Resolume UI without connecting
PAD_S2_T8_CLIP,GRID_CLIP,note,91,1,,SESSION,clip_connect,LAYER3,bank*16+16,osc,/composition/layers/{L3}/clips/{bank*16+16}/connect,int,1,clip.connected[L3][bank*16+16],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row B. Resolume connected is 0-4, not 0/1."
PAD_S2_T8_CLIPSEL,GRID_CLIP,note,91,1,SELECT,SESSION,clip_select,LAYER3,bank*16+16,osc,/composition/layers/{L3}/clips/{bank*16+16}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T1_CLIP,GRID_CLIP,note,76,1,,SESSION,clip_connect,LAYER2,bank*16+1,osc,/composition/layers/{L2}/clips/{bank*16+1}/connect,int,1,clip.connected[L2][bank*16+1],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T1_CLIPSEL,GRID_CLIP,note,76,1,SELECT,SESSION,clip_select,LAYER2,bank*16+1,osc,/composition/layers/{L2}/clips/{bank*16+1}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T2_CLIP,GRID_CLIP,note,77,1,,SESSION,clip_connect,LAYER2,bank*16+2,osc,/composition/layers/{L2}/clips/{bank*16+2}/connect,int,1,clip.connected[L2][bank*16+2],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T2_CLIPSEL,GRID_CLIP,note,77,1,SELECT,SESSION,clip_select,LAYER2,bank*16+2,osc,/composition/layers/{L2}/clips/{bank*16+2}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T3_CLIP,GRID_CLIP,note,78,1,,SESSION,clip_connect,LAYER2,bank*16+3,osc,/composition/layers/{L2}/clips/{bank*16+3}/connect,int,1,clip.connected[L2][bank*16+3],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T3_CLIPSEL,GRID_CLIP,note,78,1,SELECT,SESSION,clip_select,LAYER2,bank*16+3,osc,/composition/layers/{L2}/clips/{bank*16+3}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T4_CLIP,GRID_CLIP,note,79,1,,SESSION,clip_connect,LAYER2,bank*16+4,osc,/composition/layers/{L2}/clips/{bank*16+4}/connect,int,1,clip.connected[L2][bank*16+4],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T4_CLIPSEL,GRID_CLIP,note,79,1,SELECT,SESSION,clip_select,LAYER2,bank*16+4,osc,/composition/layers/{L2}/clips/{bank*16+4}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T5_CLIP,GRID_CLIP,note,80,1,,SESSION,clip_connect,LAYER2,bank*16+5,osc,/composition/layers/{L2}/clips/{bank*16+5}/connect,int,1,clip.connected[L2][bank*16+5],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T5_CLIPSEL,GRID_CLIP,note,80,1,SELECT,SESSION,clip_select,LAYER2,bank*16+5,osc,/composition/layers/{L2}/clips/{bank*16+5}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T6_CLIP,GRID_CLIP,note,81,1,,SESSION,clip_connect,LAYER2,bank*16+6,osc,/composition/layers/{L2}/clips/{bank*16+6}/connect,int,1,clip.connected[L2][bank*16+6],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T6_CLIPSEL,GRID_CLIP,note,81,1,SELECT,SESSION,clip_select,LAYER2,bank*16+6,osc,/composition/layers/{L2}/clips/{bank*16+6}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T7_CLIP,GRID_CLIP,note,82,1,,SESSION,clip_connect,LAYER2,bank*16+7,osc,/composition/layers/{L2}/clips/{bank*16+7}/connect,int,1,clip.connected[L2][bank*16+7],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T7_CLIPSEL,GRID_CLIP,note,82,1,SELECT,SESSION,clip_select,LAYER2,bank*16+7,osc,/composition/layers/{L2}/clips/{bank*16+7}/select,int,1,,,Select in Resolume UI without connecting
PAD_S3_T8_CLIP,GRID_CLIP,note,83,1,,SESSION,clip_connect,LAYER2,bank*16+8,osc,/composition/layers/{L2}/clips/{bank*16+8}/connect,int,1,clip.connected[L2][bank*16+8],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row A. Resolume connected is 0-4, not 0/1."
PAD_S3_T8_CLIPSEL,GRID_CLIP,note,83,1,SELECT,SESSION,clip_select,LAYER2,bank*16+8,osc,/composition/layers/{L2}/clips/{bank*16+8}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T1_CLIP,GRID_CLIP,note,68,1,,SESSION,clip_connect,LAYER2,bank*16+9,osc,/composition/layers/{L2}/clips/{bank*16+9}/connect,int,1,clip.connected[L2][bank*16+9],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T1_CLIPSEL,GRID_CLIP,note,68,1,SELECT,SESSION,clip_select,LAYER2,bank*16+9,osc,/composition/layers/{L2}/clips/{bank*16+9}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T2_CLIP,GRID_CLIP,note,69,1,,SESSION,clip_connect,LAYER2,bank*16+10,osc,/composition/layers/{L2}/clips/{bank*16+10}/connect,int,1,clip.connected[L2][bank*16+10],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T2_CLIPSEL,GRID_CLIP,note,69,1,SELECT,SESSION,clip_select,LAYER2,bank*16+10,osc,/composition/layers/{L2}/clips/{bank*16+10}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T3_CLIP,GRID_CLIP,note,70,1,,SESSION,clip_connect,LAYER2,bank*16+11,osc,/composition/layers/{L2}/clips/{bank*16+11}/connect,int,1,clip.connected[L2][bank*16+11],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T3_CLIPSEL,GRID_CLIP,note,70,1,SELECT,SESSION,clip_select,LAYER2,bank*16+11,osc,/composition/layers/{L2}/clips/{bank*16+11}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T4_CLIP,GRID_CLIP,note,71,1,,SESSION,clip_connect,LAYER2,bank*16+12,osc,/composition/layers/{L2}/clips/{bank*16+12}/connect,int,1,clip.connected[L2][bank*16+12],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T4_CLIPSEL,GRID_CLIP,note,71,1,SELECT,SESSION,clip_select,LAYER2,bank*16+12,osc,/composition/layers/{L2}/clips/{bank*16+12}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T5_CLIP,GRID_CLIP,note,72,1,,SESSION,clip_connect,LAYER2,bank*16+13,osc,/composition/layers/{L2}/clips/{bank*16+13}/connect,int,1,clip.connected[L2][bank*16+13],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T5_CLIPSEL,GRID_CLIP,note,72,1,SELECT,SESSION,clip_select,LAYER2,bank*16+13,osc,/composition/layers/{L2}/clips/{bank*16+13}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T6_CLIP,GRID_CLIP,note,73,1,,SESSION,clip_connect,LAYER2,bank*16+14,osc,/composition/layers/{L2}/clips/{bank*16+14}/connect,int,1,clip.connected[L2][bank*16+14],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T6_CLIPSEL,GRID_CLIP,note,73,1,SELECT,SESSION,clip_select,LAYER2,bank*16+14,osc,/composition/layers/{L2}/clips/{bank*16+14}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T7_CLIP,GRID_CLIP,note,74,1,,SESSION,clip_connect,LAYER2,bank*16+15,osc,/composition/layers/{L2}/clips/{bank*16+15}/connect,int,1,clip.connected[L2][bank*16+15],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T7_CLIPSEL,GRID_CLIP,note,74,1,SELECT,SESSION,clip_select,LAYER2,bank*16+15,osc,/composition/layers/{L2}/clips/{bank*16+15}/select,int,1,,,Select in Resolume UI without connecting
PAD_S4_T8_CLIP,GRID_CLIP,note,75,1,,SESSION,clip_connect,LAYER2,bank*16+16,osc,/composition/layers/{L2}/clips/{bank*16+16}/connect,int,1,clip.connected[L2][bank*16+16],OFF|L2_DIM|L2_MID|L2_FULL,"Layer band 2, row B. Resolume connected is 0-4, not 0/1."
PAD_S4_T8_CLIPSEL,GRID_CLIP,note,75,1,SELECT,SESSION,clip_select,LAYER2,bank*16+16,osc,/composition/layers/{L2}/clips/{bank*16+16}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T1_CLIP,GRID_CLIP,note,60,1,,SESSION,clip_connect,LAYER1,bank*16+1,osc,/composition/layers/{L1}/clips/{bank*16+1}/connect,int,1,clip.connected[L1][bank*16+1],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T1_CLIPSEL,GRID_CLIP,note,60,1,SELECT,SESSION,clip_select,LAYER1,bank*16+1,osc,/composition/layers/{L1}/clips/{bank*16+1}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T2_CLIP,GRID_CLIP,note,61,1,,SESSION,clip_connect,LAYER1,bank*16+2,osc,/composition/layers/{L1}/clips/{bank*16+2}/connect,int,1,clip.connected[L1][bank*16+2],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T2_CLIPSEL,GRID_CLIP,note,61,1,SELECT,SESSION,clip_select,LAYER1,bank*16+2,osc,/composition/layers/{L1}/clips/{bank*16+2}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T3_CLIP,GRID_CLIP,note,62,1,,SESSION,clip_connect,LAYER1,bank*16+3,osc,/composition/layers/{L1}/clips/{bank*16+3}/connect,int,1,clip.connected[L1][bank*16+3],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T3_CLIPSEL,GRID_CLIP,note,62,1,SELECT,SESSION,clip_select,LAYER1,bank*16+3,osc,/composition/layers/{L1}/clips/{bank*16+3}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T4_CLIP,GRID_CLIP,note,63,1,,SESSION,clip_connect,LAYER1,bank*16+4,osc,/composition/layers/{L1}/clips/{bank*16+4}/connect,int,1,clip.connected[L1][bank*16+4],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T4_CLIPSEL,GRID_CLIP,note,63,1,SELECT,SESSION,clip_select,LAYER1,bank*16+4,osc,/composition/layers/{L1}/clips/{bank*16+4}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T5_CLIP,GRID_CLIP,note,64,1,,SESSION,clip_connect,LAYER1,bank*16+5,osc,/composition/layers/{L1}/clips/{bank*16+5}/connect,int,1,clip.connected[L1][bank*16+5],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T5_CLIPSEL,GRID_CLIP,note,64,1,SELECT,SESSION,clip_select,LAYER1,bank*16+5,osc,/composition/layers/{L1}/clips/{bank*16+5}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T6_CLIP,GRID_CLIP,note,65,1,,SESSION,clip_connect,LAYER1,bank*16+6,osc,/composition/layers/{L1}/clips/{bank*16+6}/connect,int,1,clip.connected[L1][bank*16+6],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T6_CLIPSEL,GRID_CLIP,note,65,1,SELECT,SESSION,clip_select,LAYER1,bank*16+6,osc,/composition/layers/{L1}/clips/{bank*16+6}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T7_CLIP,GRID_CLIP,note,66,1,,SESSION,clip_connect,LAYER1,bank*16+7,osc,/composition/layers/{L1}/clips/{bank*16+7}/connect,int,1,clip.connected[L1][bank*16+7],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T7_CLIPSEL,GRID_CLIP,note,66,1,SELECT,SESSION,clip_select,LAYER1,bank*16+7,osc,/composition/layers/{L1}/clips/{bank*16+7}/select,int,1,,,Select in Resolume UI without connecting
PAD_S5_T8_CLIP,GRID_CLIP,note,67,1,,SESSION,clip_connect,LAYER1,bank*16+8,osc,/composition/layers/{L1}/clips/{bank*16+8}/connect,int,1,clip.connected[L1][bank*16+8],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row A. Resolume connected is 0-4, not 0/1."
PAD_S5_T8_CLIPSEL,GRID_CLIP,note,67,1,SELECT,SESSION,clip_select,LAYER1,bank*16+8,osc,/composition/layers/{L1}/clips/{bank*16+8}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T1_CLIP,GRID_CLIP,note,52,1,,SESSION,clip_connect,LAYER1,bank*16+9,osc,/composition/layers/{L1}/clips/{bank*16+9}/connect,int,1,clip.connected[L1][bank*16+9],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T1_CLIPSEL,GRID_CLIP,note,52,1,SELECT,SESSION,clip_select,LAYER1,bank*16+9,osc,/composition/layers/{L1}/clips/{bank*16+9}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T2_CLIP,GRID_CLIP,note,53,1,,SESSION,clip_connect,LAYER1,bank*16+10,osc,/composition/layers/{L1}/clips/{bank*16+10}/connect,int,1,clip.connected[L1][bank*16+10],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T2_CLIPSEL,GRID_CLIP,note,53,1,SELECT,SESSION,clip_select,LAYER1,bank*16+10,osc,/composition/layers/{L1}/clips/{bank*16+10}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T3_CLIP,GRID_CLIP,note,54,1,,SESSION,clip_connect,LAYER1,bank*16+11,osc,/composition/layers/{L1}/clips/{bank*16+11}/connect,int,1,clip.connected[L1][bank*16+11],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T3_CLIPSEL,GRID_CLIP,note,54,1,SELECT,SESSION,clip_select,LAYER1,bank*16+11,osc,/composition/layers/{L1}/clips/{bank*16+11}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T4_CLIP,GRID_CLIP,note,55,1,,SESSION,clip_connect,LAYER1,bank*16+12,osc,/composition/layers/{L1}/clips/{bank*16+12}/connect,int,1,clip.connected[L1][bank*16+12],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T4_CLIPSEL,GRID_CLIP,note,55,1,SELECT,SESSION,clip_select,LAYER1,bank*16+12,osc,/composition/layers/{L1}/clips/{bank*16+12}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T5_CLIP,GRID_CLIP,note,56,1,,SESSION,clip_connect,LAYER1,bank*16+13,osc,/composition/layers/{L1}/clips/{bank*16+13}/connect,int,1,clip.connected[L1][bank*16+13],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T5_CLIPSEL,GRID_CLIP,note,56,1,SELECT,SESSION,clip_select,LAYER1,bank*16+13,osc,/composition/layers/{L1}/clips/{bank*16+13}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T6_CLIP,GRID_CLIP,note,57,1,,SESSION,clip_connect,LAYER1,bank*16+14,osc,/composition/layers/{L1}/clips/{bank*16+14}/connect,int,1,clip.connected[L1][bank*16+14],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T6_CLIPSEL,GRID_CLIP,note,57,1,SELECT,SESSION,clip_select,LAYER1,bank*16+14,osc,/composition/layers/{L1}/clips/{bank*16+14}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T7_CLIP,GRID_CLIP,note,58,1,,SESSION,clip_connect,LAYER1,bank*16+15,osc,/composition/layers/{L1}/clips/{bank*16+15}/connect,int,1,clip.connected[L1][bank*16+15],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T7_CLIPSEL,GRID_CLIP,note,58,1,SELECT,SESSION,clip_select,LAYER1,bank*16+15,osc,/composition/layers/{L1}/clips/{bank*16+15}/select,int,1,,,Select in Resolume UI without connecting
PAD_S6_T8_CLIP,GRID_CLIP,note,59,1,,SESSION,clip_connect,LAYER1,bank*16+16,osc,/composition/layers/{L1}/clips/{bank*16+16}/connect,int,1,clip.connected[L1][bank*16+16],OFF|L1_DIM|L1_MID|L1_FULL,"Layer band 1, row B. Resolume connected is 0-4, not 0/1."
PAD_S6_T8_CLIPSEL,GRID_CLIP,note,59,1,SELECT,SESSION,clip_select,LAYER1,bank*16+16,osc,/composition/layers/{L1}/clips/{bank*16+16}/select,int,1,,,Select in Resolume UI without connecting
PAD_S7_T1_COL,GRID_COLUMN,note,44,1,,SESSION,column_connect,COMPOSITION,bank*16+1,osc,/composition/columns/{bank*16+1}/connect,int,1,column.selected[bank*16+1],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
PAD_S7_T2_COL,GRID_COLUMN,note,45,1,,SESSION,column_connect,COMPOSITION,bank*16+2,osc,/composition/columns/{bank*16+2}/connect,int,1,column.selected[bank*16+2],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
PAD_S7_T3_COL,GRID_COLUMN,note,46,1,,SESSION,column_connect,COMPOSITION,bank*16+3,osc,/composition/columns/{bank*16+3}/connect,int,1,column.selected[bank*16+3],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
PAD_S7_T4_COL,GRID_COLUMN,note,47,1,,SESSION,column_connect,COMPOSITION,bank*16+4,osc,/composition/columns/{bank*16+4}/connect,int,1,column.selected[bank*16+4],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
PAD_S7_T5_COL,GRID_COLUMN,note,48,1,,SESSION,column_connect,COMPOSITION,bank*16+5,osc,/composition/columns/{bank*16+5}/connect,int,1,column.selected[bank*16+5],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
PAD_S7_T6_COL,GRID_COLUMN,note,49,1,,SESSION,column_connect,COMPOSITION,bank*16+6,osc,/composition/columns/{bank*16+6}/connect,int,1,column.selected[bank*16+6],OFF|SCENE_DIM|SCENE_FULL,Fires one clip in every layer. Banks with the clip rows so vertical alignment holds.
